NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME_DA_EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
0 SILVA & ANTUNES LTDA;01/08/2001;964466;0 SILVA & ANTUNES LTDA;01/12/2010;***;ALUGUEL DE FITAS DE VÍDEO, DVDS E SIMILARES;COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GER;COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEME;R. HASSIB JEZZINI;000440;01;***;TR;FANNY;81030360
0. CARVALHO DA ROCHA ME;19/04/2011;1017797;DISTRIBUIDORA ROCHA;10/05/2011;***;COMÉRCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIG;COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEME;COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREAT;R. ANTÔNIO JOSÉ BONATO;001376;***;***;***;GANCHINHO;81935395
001 PERFUMES E INFORMATICA LTDA;03/12/2010;1000552;001 PERFUMES E INFORMATICA LTDA;07/01/2011;***;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREAT;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTIC;R. PADRE ANCHIETA;001995;1801;18;***;BIGORRILHO;80730000
001 PERFUMES E INFORMATICA LTDA;03/12/2010;1066409;001 PERFUMES E INFORMATICA LTDA;11/05/2012;***;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS D;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;ALUGUEL DE OUTROS OBJETOS PESSOAIS E DOMÉSTICOS NÃ;R. PADRE ANCHIETA;001995;1801;18;***;BIGORRILHO;80730000
001SHOP DESENVOLVIMENTO DE LOJAS VIRTUAIS LTDA EPP;03/04/2012;1063087;001SHOP LTDA;13/04/2012;***;TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇOS DE APL;PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS;PORTAIS, PROVEDORES DE CONTEÚDO E OUTROS SERVIÇOS;AV. SETE DE SETEMBRO;004476;605;06;***;BATEL;80250210
001SHOP DESENVOLVIMENTO DE LOJAS VIRTUAIS LTDA EPP;03/04/2012;1248203;001SHOP LTDA;26/11/2015;***;TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇOS DE APL;PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS;***;AV. SETE DE SETEMBRO;004476;605;06;***;BATEL;80250085
001SHOP DESENVOLVIMENTO DE LOJAS VIRTUAIS LTDA EPP;03/04/2012;1267511;001SHOP LTDA;03/05/2016;***;TRATAMENTO DE DADOS, PROVEDORES DE SERVIÇOS DE APL;PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS;***;R. JOSÉ ALEXANDRINO;000030;***;***;CASA 04;MOSSUNGUÊ;81210050
007 GAMES DIVERSOES ELETRONICAS S/C LTDA;15/11/1997;427597;007 GAMES DIVERSOES ELETRONICAS S/C LTDA;19/12/1997;31/12/2001;EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS;***;***;R. AFONSO PIOTTO;000303;08;***;TR;CIDADE INDUSTRIAL;81280440
007 INFORMATICA LTDA ME;30/03/2012;1068718;007 INFORMATICA;30/05/2012;***;SALAS DE ACESSO À INTERNET;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPA;EST. DE SANTA CÂNDIDA;000941;***;***;***;SANTA CÂNDIDA;82630490
007 TRANSPORTE RODOVIARIO LTDA;07/06/1999;484163;007 TRANSPORTE RODOVIARIO LTDA;14/09/1999;31/12/2002;TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PE;***;***;R. TREZE DE MAIO;000336;61;6;AD;CENTRO;80020270
